algorithm,execution_time_ms,peak_memory_kb,mst_weight,trial,nodes,edges,density_ratio,graph_type
Kruskal_Optimized,496.53009999747155,737.484375,499,1,500,62616,0.5019318637274549,dense
Kruskal_Optimized,401.4152999952785,737.421875,499,2,500,62616,0.5019318637274549,dense
Kruskal_Optimized,408.34869999525836,737.421875,499,3,500,62616,0.5019318637274549,dense
Prim_Classic,1345.3020000015385,3879.46875,699,1,700,122760,0.5017780502759044,dense
Prim_Classic,1330.5506999968202,3879.46875,699,2,700,122760,0.5017780502759044,dense
Prim_Classic,1268.9976999972714,3879.46875,699,3,700,122760,0.5017780502759044,dense
Prim_Optimized,307.9563999999664,7302.0546875,699,1,700,122760,0.5017780502759044,dense
Prim_Optimized,489.33409999881405,7302.0,699,2,700,122760,0.5017780502759044,dense
Prim_Optimized,435.59149999782676,7302.0,699,3,700,122760,0.5017780502759044,dense
Kruskal_Classic,589.2882000043755,1582.4609375,699,1,700,122760,0.5017780502759044,dense
Kruskal_Classic,553.3318999951007,1582.4609375,699,2,700,122760,0.5017780502759044,dense
Kruskal_Classic,590.8845000012661,1582.4609375,699,3,700,122760,0.5017780502759044,dense
Kruskal_Optimized,809.2162999964785,1440.3125,699,1,700,122760,0.5017780502759044,dense
Kruskal_Optimized,545.990200000233,1440.25,699,2,700,122760,0.5017780502759044,dense
Kruskal_Optimized,531.1787000027834,1440.25,699,3,700,122760,0.5017780502759044,dense
