nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
233,10.9296875,21.390625,32.953125,42.640625,56.421875,68.703125,76.015625,84.265625,103.984375,115.734375,115.734375,128.953125,143.796875,160.515625,160.515625,179.328125,179.328125,200.484375,200.484375,224.296875,224.296875
243,10.9921875,22.796875,35.796875,46.703125,56.421875,68.703125,84.265625,93.546875,103.984375,115.734375,128.953125,143.796875,160.515625,160.515625,179.328125,200.484375,200.484375,224.296875,224.296875,251.078125,251.078125
254,10.9296875,24.390625,35.796875,51.265625,62.203125,76.015625,93.546875,103.984375,115.734375,128.953125,143.796875,160.515625,160.515625,179.328125,200.484375,200.484375,224.296875,224.296875,251.078125,251.078125,281.203125
264,10.9921875,24.390625,39.015625,51.265625,68.703125,84.265625,93.546875,115.734375,128.953125,143.796875,160.515625,160.515625,179.328125,200.484375,200.484375,224.296875,251.078125,251.078125,281.203125,281.203125,281.203125
274,10.9609375,26.484375,42.953125,56.734375,69.015625,84.578125,104.296875,116.046875,129.265625,144.109375,160.828125,179.640625,200.796875,200.796875,224.609375,251.390625,251.390625,281.515625,281.515625,315.390625,315.390625
284,11.0546875,26.484375,42.953125,62.515625,76.328125,93.859375,104.296875,129.265625,144.109375,160.828125,179.640625,200.796875,200.796875,224.609375,251.390625,251.390625,281.515625,281.515625,315.390625,315.390625,353.515625
294,10.9921875,28.484375,47.015625,62.515625,84.578125,104.296875,116.046875,129.265625,160.828125,179.640625,179.640625,200.796875,224.609375,251.390625,251.390625,281.515625,281.515625,315.390625,315.390625,353.515625,353.515625
304,10.9296875,30.734375,47.015625,69.015625,84.578125,104.296875,129.265625,144.109375,160.828125,179.640625,200.796875,224.609375,251.390625,251.390625,281.515625,281.515625,315.390625,315.390625,353.515625,353.515625,396.390625
314,42.6796875,62.6171875,83.4609375,100.8984375,125.7421875,147.9296875,161.1484375,192.7109375,211.5234375,232.6796875,256.4921875,256.4921875,283.2734375,313.3984375,313.3984375,347.2734375,385.3984375,385.3984375,428.2734375,428.2734375,428.2734375
324,42.6796875,65.1484375,83.4609375,108.2109375,125.7421875,147.9296875,175.9921875,192.7109375,211.5234375,232.6796875,256.4921875,283.2734375,313.3984375,313.3984375,347.2734375,377.859375,385.3984375,428.2734375,428.2734375,468.984375,476.5234375
334,42.7109375,65.1484375,88.6171875,108.2109375,136.1796875,161.1484375,175.9921875,211.5234375,232.6796875,256.4921875,283.2734375,283.2734375,313.3984375,347.2734375,347.2734375,385.3984375,428.2734375,428.2734375,476.5234375,476.5234375,476.5234375
344,42.6796875,67.9921875,88.6171875,116.4609375,136.1796875,161.1484375,192.7109375,211.5234375,232.6796875,256.4921875,283.2734375,313.3984375,347.2734375,347.2734375,385.3984375,420.734375,428.2734375,468.984375,476.5234375,523.265625,530.8046875
354,42.7421875,67.9921875,94.3984375,116.4609375,147.9296875,175.9921875,192.7109375,225.515625,256.4921875,283.2734375,306.234375,313.3984375,347.2734375,385.3984375,385.3984375,428.2734375,469.359375,476.5234375,523.640625,530.8046875,530.8046875
364,42.8046875,67.9921875,94.3984375,125.7421875,147.9296875,175.9921875,211.5234375,232.6796875,256.4921875,283.2734375,313.3984375,347.2734375,378.234375,385.3984375,428.2734375,428.2734375,476.5234375,523.640625,530.8046875,530.8046875,591.8671875
374,42.8046875,71.2109375,100.8984375,125.7421875,153.984375,185.546875,211.5234375,232.6796875,276.109375,306.234375,340.109375,347.2734375,385.3984375,421.109375,428.2734375,476.5234375,476.5234375,530.8046875,530.8046875,591.8671875,591.8671875
385,42.7421875,71.2109375,100.8984375,129.015625,161.1484375,192.7109375,225.515625,256.4921875,283.2734375,313.3984375,347.2734375,378.234375,421.109375,428.2734375,476.5234375,476.5234375,530.8046875,584.703125,591.8671875,591.8671875,660.5546875
395,42.7734375,74.8359375,101.046875,136.1796875,168.828125,204.359375,232.6796875,256.4921875,306.234375,340.109375,347.2734375,385.3984375,428.2734375,469.359375,476.5234375,523.640625,530.8046875,591.8671875,591.8671875,653.390625,660.5546875
405,42.7421875,74.8359375,108.2109375,141.203125,175.9921875,211.5234375,249.765625,276.546875,306.671875,340.546875,378.671875,421.546875,428.2734375,476.5234375,524.078125,530.8046875,585.140625,591.8671875,653.828125,660.5546875,731.109375
415,42.7734375,74.8359375,109.734375,147.9296875,185.984375,211.5234375,249.765625,283.2734375,313.3984375,347.2734375,385.3984375,421.546875,469.796875,524.078125,530.8046875,585.140625,591.8671875,653.828125,660.5546875,731.109375,737.8359375
425,42.7734375,78.8984375,109.734375,147.9296875,185.984375,225.953125,256.4921875,306.671875,340.546875,378.671875,421.546875,428.2734375,476.5234375,524.078125,585.140625,585.140625,653.828125,660.5546875,731.109375,731.109375,818.046875
435,42.7421875,78.8984375,116.4609375,154.421875,192.7109375,225.953125,276.546875,306.671875,340.546875,378.671875,421.546875,469.796875,524.078125,530.8046875,585.140625,653.828125,653.828125,731.109375,731.109375,818.046875,818.046875
445,42.8046875,78.8984375,119.015625,154.421875,204.796875,249.765625,276.546875,313.3984375,378.671875,421.546875,428.2734375,469.796875,524.078125,585.140625,585.140625,653.828125,660.5546875,731.109375,737.8359375,818.046875,818.046875
455,42.9296875,83.4609375,119.015625,169.265625,204.796875,249.765625,306.671875,340.546875,378.671875,421.546875,469.796875,524.078125,524.078125,585.140625,653.828125,653.828125,731.109375,731.109375,818.046875,818.046875,915.859375
465,42.7421875,83.4609375,129.953125,169.765625,205.296875,250.265625,307.171875,341.046875,379.171875,422.046875,470.296875,524.578125,585.640625,585.640625,654.328125,731.609375,731.609375,818.546875,818.546875,916.359375,916.359375
