nodes,density_percent,BFS,DFS_Iterative,speed_ratio_dfs_over_bfs
163,15,0.31504999969911296,0.762000000122498,2.418663706872695
163,20,0.35179999986212346,0.869449999754579,2.471432632448356
163,25,0.39585000013175886,0.9980999998333573,2.5214096235976737
163,30,0.4344499998296669,1.118750000387081,2.5750949495355155
163,35,0.4822999999305466,1.2351999998827523,2.561061580055208
163,40,0.5269500002214045,1.323249999586551,2.511149063536524
163,45,0.5553500000132772,1.4510500004689675,2.6128567577820765
163,50,0.6077000002733257,1.5355499999714084,2.526822444101963
163,55,0.6493500000033237,1.7232499999408901,2.653807653703041
163,60,0.6764499999007967,1.8954499996652885,2.8020548450635845
163,65,0.8157500005836482,2.4019000002226676,2.9444069856011885
163,70,0.7509999995818362,2.2587000003113644,3.007589882249041
163,75,0.7931500003905967,2.1899999992456287,2.7611422784683044
163,80,0.8389999998144049,2.267399999709596,2.7025029799894726
163,85,0.8686999999554246,2.3913000004540663,2.7527339709643956
163,90,0.9270000000469736,2.6186499994764745,2.8248651557106585
163,95,0.9682499999144056,2.6668999998946674,2.754350632719261
163,100,1.014899999518093,3.657250000287604,3.603557002684189
173,0,0.20005000033052056,0.388699999803066,1.9430142422437384
173,5,0.27039999986300245,0.5460000002130982,2.0192307710418933
173,10,0.29765000044790213,0.7786500004840491,2.615991934528274
173,15,0.3413999997974315,0.808950000191544,2.3695079105785926
173,20,0.3864000004796253,0.9418499998901098,2.4374999966900184
173,25,1.00834999966537,1.8930500000351458,1.8773739283615525
173,30,0.48054999979285634,1.4717499998369021,3.062636563253164
173,35,0.5341500000213273,1.3141999997969833,2.4603575769812047
173,40,0.5659499997818784,1.487749999796506,2.6287657926846832
173,45,0.6430499997804873,1.5989000003173715,2.4864318495656246
173,50,0.664950000555109,1.7284499999732361,2.5993683713516855
173,55,0.7081500002641405,1.8787499998325075,2.653039609025958
173,60,0.7550999998784391,2.013450000049488,2.666468017975932
173,65,0.8111999995890073,2.1154499995645892,2.6078032552223585
173,70,0.8673499996803002,2.3350500000560714,2.6921657934129892
173,75,0.8915499997783627,2.5491500005045964,2.8592339197333962
173,80,1.0193499997512845,5.074950000107492,4.978613823854173
173,85,1.2990999998692132,5.847999999787135,4.501578015838566
173,90,1.0266499998579093,2.9416999996101367,2.8653387230480445
173,95,1.098100000035629,3.468599999905564,3.1587287130434585
173,100,1.1193000004823261,3.0457499997282866,2.721120341656231
183,0,0.2214499995716323,0.4329499997766106,1.9550688670765362
183,5,0.27130000034958357,0.5857999999534513,2.1592333180929555
183,10,0.318549999519746,0.7494500000575499,2.3526918888320187
183,15,0.36964999981137225,0.9117499998865242,2.466522386992503
183,20,0.41980000014518737,1.0639000001901877,2.534302048171127
183,25,0.4760500000884349,1.271699999961129,2.671358050047028
183,30,0.5265999998300686,1.4874000003146648,2.8245347527433387
183,35,0.6288499998845509,1.5478000000257452,2.4613182798917106
183,40,0.633650000054331,1.7436500002077082,2.7517557011886726
183,45,0.6978000001254259,3.7415499996313883,5.361923185667619
183,50,0.7251999995787628,2.0829500003856083,2.8722421422993705
183,55,0.7738499998595216,3.188650000083726,4.120501390014302
183,60,0.8476000002701767,2.197800000431016,2.592968380993932
183,65,0.8808499997030594,2.414350000435661,2.7409320556843446
183,70,0.9450999996261089,2.5389000002178364,2.6863823946907743
183,75,0.980999999683263,2.7841500004797126,2.8380733959007496
183,80,1.0313000002497574,2.8158499999335618,2.7303888289068428
183,85,3.365050000411429,4.002300000138348,1.1893731147082525
183,90,1.1343500000293716,6.961749999845779,6.137215144942495
183,95,1.2001499999314547,3.4006500000032247,2.833520810063283
183,100,1.2449000000742672,3.3623499998611805,2.700899670383639
193,0,0.2260500004922505,0.42355000005045434,1.8737005048800015
193,5,0.28345000009721844,0.627500000064174,2.2137943194529983
193,10,0.3427500000725558,0.807249999979831,2.355215170850318
193,15,0.4095999997844046,0.9774499999366526,2.386352540163914
193,20,0.4513500002758519,1.1153500004184025,2.4711421285847637
193,25,0.5151500004103582,1.2828999997509527,2.4903426161875575
193,30,0.5663999995704216,1.4433999999710068,2.5483757080962817
193,35,0.640349999684986,1.5973999998095678,2.494573281167164
193,40,0.7018500000413042,2.401700000064011,3.4219562583496046
193,45,0.7592500001010194,1.910550000047806,2.516364833445643
193,50,0.8688500001881039,3.9140500002758927,4.504862748953801
193,55,0.8493999998790969,2.2479499998553365,2.646515187397349
193,60,0.9134500000982371,2.5828999996519997,2.8276315062392263
193,65,0.9673499994278245,2.7558499996303,2.8488654584797133
193,70,1.0309499998584215,2.819399999680172,2.7347592027424756
193,75,1.080649999948946,2.917650000199501,2.6999028365681226
193,80,1.1336000002302171,3.3923999994840415,2.9925899777656104
193,85,1.22125000007145,3.513349999593629,2.8768474918223776
193,90,2.7951499996561324,4.1312500002277375,1.4780065473180244
193,95,1.3040999997429026,3.659900000457128,2.8064565609835603
193,100,1.3838499999110354,3.8098499999250643,2.7530801749972835
203,0,0.24404999976468383,0.457399999959307,1.874206106946683
203,5,0.31209999997372506,0.6694499998047831,2.1449855810994634
203,10,0.37849999989703065,0.8855500004756323,2.3396301207834673
203,15,0.4352999999355234,1.0531000002629298,2.4192510921638295
203,20,0.49799999987953925,1.2547999999696913,2.5196787154080598
203,25,0.5536499998015643,1.5358499995272723,2.774044974402135
203,30,0.6313499998213956,1.6420500001004257,2.600855310944721
203,35,0.7804000006217393,1.7953500000658096,2.300550997738937
203,40,0.7737999999335443,2.2852500001135923,2.9532825023389178
203,45,1.712049999696319,2.1232999997664592,1.2402091061260403
203,50,0.8734999996704573,3.0364500003088324,3.4761877520943156
203,55,0.950149999880523,2.5147999999717285,2.6467399887259413
