algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Base,0.18730000010691583,1.2890625,50,True,5,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
DFS_Base,2.017400001932401,10.921875,50,True,1,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
DFS_Base,2.275800005008932,10.921875,50,True,2,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
DFS_Base,4.157999996095896,10.921875,50,True,3,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
DFS_Base,1.0225000005448237,10.921875,50,True,4,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
DFS_Base,16.49819999875035,10.921875,50,True,5,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
BFS_Base,1.4693000048282556,1.3203125,50,True,1,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
BFS_Base,1.3281999999890104,1.3203125,50,True,2,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
BFS_Base,1.0977000056300312,1.3203125,50,True,3,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
BFS_Base,0.633299998298753,1.3203125,50,True,4,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
BFS_Base,0.6166000021039508,1.3203125,50,True,5,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
DFS_Base,0.19839999731630087,1.609375,50,True,1,50,98,wheel_graph,wheel_graph; connected; sparse; unweighted; undirected; V=50; E=98; fill=8.00%,8.0
