algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Optimized,1.509900001110509,11.140625,200,True,3,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
BFS_Optimized,1.4785000021220185,11.140625,200,True,4,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
BFS_Optimized,1.4643999966210686,11.140625,200,True,5,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
DFS_Optimized,2.5020999964908697,51.921875,200,True,1,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
DFS_Optimized,25.827699995716102,51.921875,200,True,2,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
DFS_Optimized,2.4615000002086163,51.921875,200,True,3,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
DFS_Optimized,2.4374999993597157,51.921875,200,True,4,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
DFS_Optimized,1.851699998951517,51.921875,200,True,5,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
BFS_Optimized,0.8713999995961785,12.3828125,200,True,1,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
BFS_Optimized,1.0638999956427142,12.3828125,200,True,2,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
BFS_Optimized,1.076100001228042,12.3828125,200,True,3,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
BFS_Optimized,1.091500002075918,12.3828125,200,True,4,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
BFS_Optimized,0.8444999984931201,12.3828125,200,True,5,200,4975,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=200; E=4975; fill=25.00%,25
DFS_Optimized,3.1963000001269393,94.203125,200,True,1,200,9950,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=200; E=9950; fill=50.00%,50
